kind,etag,content_details_video_id,content_details_video_published_at,response_kind,response_etag,items_kind,items_etag,id,publishedAt,channelId,title,description,thumbnails_default_url,thumbnails_default_width,thumbnails_default_height,thumbnails_medium_url,thumbnails_medium_width,thumbnails_medium_height,thumbnails_high_url,thumbnails_high_width,thumbnails_high_height,thumbnails_standard_url,thumbnails_standard_width,thumbnails_standard_height,thumbnails_maxres_url,thumbnails_maxres_width,thumbnails_maxres_height,channelTitle,categoryId,liveBroadcastContent,localized_title,localized_description,status_uploadStatus,status_privacyStatus,status_license,status_embeddable,status_publicStatsViewable,status_madeForKids,statistics_viewCount,statistics_likeCount,statistics_dislikeCount,statistics_favoriteCount,statistics_commentCount,pageInfo_totalResults,pageInfo_resultsPerPage,defaultAudioLanguage,defaultLanguage
youtube#playlistItem,OpM3oPOm7JJflSnWXCYuRc8Y2ns,PytQ3iCQAuk,2021-04-22T04:24:16Z,youtube#videoListResponse,u663hTEkiC5Eys-Eaei_Gf6GpP0,youtube#video,lJnrdCCzlFme6g3mL0U8_jBl3z4,PytQ3iCQAuk,2021-04-22T04:24:16Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 22.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Brot und Spiele von Berset. 
Manipulative Spitalzahlen. 
Bäumle widerspricht Weltwoche Daily.
Der Fall Floyd brennt weiter.
Truppenabzug aus Afghanistan und die Schweiz.
FDP-Verluste.
Matters Manager-Sozialismus.
Rahmenvertrag ohne Ende.
Neue Weltwoche.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/PytQ3iCQAuk/default.jpg,120,90,https://i.ytimg.com/vi/PytQ3iCQAuk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PytQ3iCQAuk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PytQ3iCQAuk/sddefault.jpg,640,480,https://i.ytimg.com/vi/PytQ3iCQAuk/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 22.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Brot und Spiele von Berset. 
Manipulative Spitalzahlen. 
Bäumle widerspricht Weltwoche Daily.
Der Fall Floyd brennt weiter.
Truppenabzug aus Afghanistan und die Schweiz.
FDP-Verluste.
Matters Manager-Sozialismus.
Rahmenvertrag ohne Ende.
Neue Weltwoche.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,11700,1144,27,0,387,1,1,,
youtube#playlistItem,sYgVeYm44hFigfeFmsYYjVaNjmc,3NQYBYiSGPI,2021-04-21T14:00:01Z,youtube#videoListResponse,8XkZkmqp-SnfUd9JwJX4-Bxj1NY,youtube#video,dTZZqSaOHqJ4uusfk8UhPlbJzxs,3NQYBYiSGPI,2021-04-21T14:00:01Z,UCq-b0dwW97YRZWgSCikWQRA,Weltwoche-Video-Vorschau 16/21,"Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Joe Biden schafft Amerika ab.
Günther Tschanun: Ogis Empfehlung öffnete dem Vierfachmörder die Türen.
Faul, fett, überheblich: Das Schweizer Fernsehen ist ein Sanierungsfall.
Reich werden mit der Credit Suisse.
Harald Martenstein.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/3NQYBYiSGPI/default.jpg,120,90,https://i.ytimg.com/vi/3NQYBYiSGPI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3NQYBYiSGPI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3NQYBYiSGPI/sddefault.jpg,640,480,https://i.ytimg.com/vi/3NQYBYiSGPI/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,Weltwoche-Video-Vorschau 16/21,"Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Joe Biden schafft Amerika ab.
Günther Tschanun: Ogis Empfehlung öffnete dem Vierfachmörder die Türen.
Faul, fett, überheblich: Das Schweizer Fernsehen ist ein Sanierungsfall.
Reich werden mit der Credit Suisse.
Harald Martenstein.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,6093,325,6,0,31,1,1,,
youtube#playlistItem,PyiAL0clmxOdUwF4E-A8n71Ikwc,X5kzv5s06z4,2021-04-21T04:30:03Z,youtube#videoListResponse,NBE5WzipThkycdY7Egz2wSMlMxU,youtube#video,FUlkBqqDIbUVMLT9c-Cxtj2kjHY,X5kzv5s06z4,2021-04-21T04:30:03Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 21.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Fehlurteil im Fall George Floyd.
Prof. Aguzzi möchte  Daily canceln.
Baerbock gegen Laschet.
Rudolf Strahm zerpflückt die EU-Angstmacher.
Aerosol-Schlaumeier Bäumle. 
Grüne sind spiessiger als Linke.
Ukraine.
Reich werden mit der Credit-Suisse.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/X5kzv5s06z4/default.jpg,120,90,https://i.ytimg.com/vi/X5kzv5s06z4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/X5kzv5s06z4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/X5kzv5s06z4/sddefault.jpg,640,480,https://i.ytimg.com/vi/X5kzv5s06z4/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 21.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Fehlurteil im Fall George Floyd.
Prof. Aguzzi möchte  Daily canceln.
Baerbock gegen Laschet.
Rudolf Strahm zerpflückt die EU-Angstmacher.
Aerosol-Schlaumeier Bäumle. 
Grüne sind spiessiger als Linke.
Ukraine.
Reich werden mit der Credit-Suisse.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,13291,1509,26,0,437,1,1,,
youtube#playlistItem,n_M3f9mBbWIQJpRRt0NCpIsMeCg,c77uMASrB0A,2021-04-20T04:30:06Z,youtube#videoListResponse,lAkXdsqJVjOK-D1foNsqJG5MoSk,youtube#video,LlVifIJ-LSmCeZ8gokoedJC9Q7g,c77uMASrB0A,2021-04-20T04:30:06Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 20.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Deutscher Wahlkampf, absurdes Theater. 
Annalena Baerbock, wie rot ist die Grüne?
Parmelin will nicht Boris Johnson spielen.
Die tendenziöse Ahnungslosigkeit des Schweizer Fernsehens.
NZZ: Liebe zur FDP macht blind. 
Übersterblichkeit und Intensivstationen.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/c77uMASrB0A/default.jpg,120,90,https://i.ytimg.com/vi/c77uMASrB0A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c77uMASrB0A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c77uMASrB0A/sddefault.jpg,640,480,https://i.ytimg.com/vi/c77uMASrB0A/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 20.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Deutscher Wahlkampf, absurdes Theater. 
Annalena Baerbock, wie rot ist die Grüne?
Parmelin will nicht Boris Johnson spielen.
Die tendenziöse Ahnungslosigkeit des Schweizer Fernsehens.
NZZ: Liebe zur FDP macht blind. 
Übersterblichkeit und Intensivstationen.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,25963,1586,27,0,382,1,1,,
youtube#playlistItem,uMfT41ecRXTYIV8UeeTqaVb8Wbk,JPYmKd9BLIc,2021-04-19T04:19:45Z,youtube#videoListResponse,9giqxHaTxnDYY2zCvT6NtzTqYws,youtube#video,Zyy0X1i1udDn6FYNmCotIz846VE,JPYmKd9BLIc,2021-04-19T04:19:45Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 19.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:


Frostnächte und die Klimakatastrophe.
Marschbefehl für Guy Parmelin.
Alle gegen Ignazio Cassis - ungerecht.
Putin rasselt, die Chinesen, weil Biden schwach ist.
SRG und Sexismus.
Natalie Rickli auf den Malediven.
Prince Philips Beerdigung.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/JPYmKd9BLIc/default.jpg,120,90,https://i.ytimg.com/vi/JPYmKd9BLIc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JPYmKd9BLIc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/JPYmKd9BLIc/sddefault.jpg,640,480,https://i.ytimg.com/vi/JPYmKd9BLIc/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 19.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:


Frostnächte und die Klimakatastrophe.
Marschbefehl für Guy Parmelin.
Alle gegen Ignazio Cassis - ungerecht.
Putin rasselt, die Chinesen, weil Biden schwach ist.
SRG und Sexismus.
Natalie Rickli auf den Malediven.
Prince Philips Beerdigung.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,22734,1563,40,0,429,1,1,,
youtube#playlistItem,wKjvdivvoeZTDlpePriFhHNOIJg,vbkkOTcJBac,2021-04-16T04:30:10Z,youtube#videoListResponse,twgD_9bWxf0y24teUB8aZud49y8,youtube#video,d-J0BcYdeXUhweiVBDovEyCEpw4,vbkkOTcJBac,2021-04-16T04:30:10Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 16.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Die Genialität der Schweiz. 
Mick Jagger ist der Beste. 
Fake News über Chiesa. 
Deutschland auch fussballerisch am Boden. 
Der Fall Floyd. Willkür gegen Corona-Arzt. 
Was der Bundesrat von der Queen lernen kann. 
Söder, Kanzler Favorit.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/vbkkOTcJBac/default.jpg,120,90,https://i.ytimg.com/vi/vbkkOTcJBac/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vbkkOTcJBac/hqdefault.jpg,480,360,https://i.ytimg.com/vi/vbkkOTcJBac/sddefault.jpg,640,480,https://i.ytimg.com/vi/vbkkOTcJBac/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 16.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Die Genialität der Schweiz. 
Mick Jagger ist der Beste. 
Fake News über Chiesa. 
Deutschland auch fussballerisch am Boden. 
Der Fall Floyd. Willkür gegen Corona-Arzt. 
Was der Bundesrat von der Queen lernen kann. 
Söder, Kanzler Favorit.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,26062,1593,23,0,565,1,1,,
youtube#playlistItem,HKCAWnZlfkhF-iIWr6faW7UlkiA,Z_fLkwGOhjE,2021-04-15T04:30:02Z,youtube#videoListResponse,H5s25PnWzL0eVhpVWTnOIuZrCMQ,youtube#video,StQFitrYa5jA-QiDL2Uo9NnEJl8,Z_fLkwGOhjE,2021-04-15T04:30:02Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 15.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Weltwoche-Tag mit Sahra Wagenknecht.
Österreich: Kosovaren schleppen Virus ein.
Zögerliche Lockerungen.
Merkel zieht die Schraube an.
Texas macht es gut.
John Loannidis und Weltwoche Daily.
Zuschriften von Zuschauern.
Basel und die Bettler.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/Z_fLkwGOhjE/default.jpg,120,90,https://i.ytimg.com/vi/Z_fLkwGOhjE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Z_fLkwGOhjE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Z_fLkwGOhjE/sddefault.jpg,640,480,https://i.ytimg.com/vi/Z_fLkwGOhjE/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 15.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Weltwoche-Tag mit Sahra Wagenknecht.
Österreich: Kosovaren schleppen Virus ein.
Zögerliche Lockerungen.
Merkel zieht die Schraube an.
Texas macht es gut.
John Loannidis und Weltwoche Daily.
Zuschriften von Zuschauern.
Basel und die Bettler.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,23363,1842,26,0,725,1,1,,
youtube#playlistItem,XpjooHOHYMN7VDrirgT02cqc0Ag,7tldlVxP2iM,2021-04-14T13:00:02Z,youtube#videoListResponse,huMg7KJ7K2rbeKflr8ei0eX2A0o,youtube#video,GNkXDRDGVbirBJgeBsxL64Oi7e0,7tldlVxP2iM,2021-04-14T13:00:02Z,UCq-b0dwW97YRZWgSCikWQRA,Weltwoche-Video-Vorschau 15/21,"Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Sahra Wagenknecht. Europas interessanteste Linkspolitikerin.
Schweizer Wasserlüge - die Qualität wird schlecht geredet.
Trio Eugster, Titanen der Volksmusik. 
Der Fall Floyd, die andere Sicht.
Die Schande von Altdorf.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/7tldlVxP2iM/default.jpg,120,90,https://i.ytimg.com/vi/7tldlVxP2iM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7tldlVxP2iM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7tldlVxP2iM/sddefault.jpg,640,480,https://i.ytimg.com/vi/7tldlVxP2iM/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,Weltwoche-Video-Vorschau 15/21,"Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Sahra Wagenknecht. Europas interessanteste Linkspolitikerin.
Schweizer Wasserlüge - die Qualität wird schlecht geredet.
Trio Eugster, Titanen der Volksmusik. 
Der Fall Floyd, die andere Sicht.
Die Schande von Altdorf.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,6344,279,0,0,48,1,1,,
youtube#playlistItem,MlYcrab2eHkHwTyOwnF2DRUYKFM,kekBcvGLzaM,2021-04-14T04:30:02Z,youtube#videoListResponse,LoYNpuKQVGBKx1ZrTruORq0bx94,youtube#video,ZmpercBm0ZvOn_0v1hNVpM61ae8,kekBcvGLzaM,2021-04-14T04:30:02Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 14.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Aargau verbietet Corona-Demos.
Keine Corona-Ansteckung im Freien. 
Britische Variante nicht gefährlicher. 
Öder Kopfsalat im deutschen Wahlkampf. 
Ariella Kaeslin ist lesbisch, so what?
Sofa-Gate, die Weiterungen.
Heino, gecancelt?
Dexit - die Fakten.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/kekBcvGLzaM/default.jpg,120,90,https://i.ytimg.com/vi/kekBcvGLzaM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kekBcvGLzaM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/kekBcvGLzaM/sddefault.jpg,640,480,https://i.ytimg.com/vi/kekBcvGLzaM/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 14.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Aargau verbietet Corona-Demos.
Keine Corona-Ansteckung im Freien. 
Britische Variante nicht gefährlicher. 
Öder Kopfsalat im deutschen Wahlkampf. 
Ariella Kaeslin ist lesbisch, so what?
Sofa-Gate, die Weiterungen.
Heino, gecancelt?
Dexit - die Fakten.

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,24446,1623,30,0,535,1,1,,
youtube#playlistItem,tgAIaYw_IfaB0VjIEbOeC55qfuA,BsG3_6DCWuw,2021-04-13T04:30:00Z,youtube#videoListResponse,YlIN8zYRLdoFOEnYeMWhyhUq8Og,youtube#video,KUm0e8jDINNK9EDQ8VPAk4DL6Mw,BsG3_6DCWuw,2021-04-13T04:30:00Z,UCq-b0dwW97YRZWgSCikWQRA,"Weltwoche Daily, 13.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Lichtblicke gibt es immer. 
Elend Berufspolitiker. 
Haben wir eine Corona-Verschwörung? 
Die Schande von Altdorf. 
Lob der Polizei. 
Ehe für alle? Bettler in Basel. 
AfD provoziert sich in die Politik zurück. 
Gute Nachricht für Deutschland

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",https://i.ytimg.com/vi/BsG3_6DCWuw/default.jpg,120,90,https://i.ytimg.com/vi/BsG3_6DCWuw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BsG3_6DCWuw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BsG3_6DCWuw/sddefault.jpg,640,480,https://i.ytimg.com/vi/BsG3_6DCWuw/maxresdefault.jpg,1280,720,DIE WELTWOCHE (Wochenmagazin),25,none,"Weltwoche Daily, 13.04.2021","Weltwoche Online baut aus: Ihr täglicher Meinungs-Espresso gegen den Mainstream-Tsunami. Mo-Fr ab 6 Uhr 30 mit der bekannten Daily-Show von Roger Köppel und pointierten Kommentaren von Top-Journalisten. Jetzt kostenlos testen! https://www.weltwoche-daily.ch

Themen des aktuellen Daily-Videos:

Lichtblicke gibt es immer. 
Elend Berufspolitiker. 
Haben wir eine Corona-Verschwörung? 
Die Schande von Altdorf. 
Lob der Polizei. 
Ehe für alle? Bettler in Basel. 
AfD provoziert sich in die Politik zurück. 
Gute Nachricht für Deutschland

Bei der Weltwoche ist vieles neu. 
Jetzt das Kennenlern-Abo mit 12 für nur Fr. 49.- lösen!
https://www.weltwoche.ch/kennenlernabo 

Weitere Abo-Angebote finden Sie hier:
https://www.weltwoche.ch/abonnemente",processed,public,youtube,TRUE,TRUE,FALSE,26329,1631,53,0,619,1,1,,
